Student B Actuator Log - 20250528_173722
Time	Filtered	Action	Latency(ms)
1748425044545.000	54.60	-27.82	0.03
1748425044560.000	61.28	-35.88	0.03
1748425044578.000	65.05	-39.51	0.04
1748425044592.000	70.67	-45.52	0.03
1748425044608.000	74.55	-49.47	0.03
1748425044624.000	75.64	-50.54	0.03
1748425044640.000	69.03	-43.35	0.03
1748425044656.000	69.53	-44.76	0.03
1748425044672.000	63.10	-37.76	0.03
1748425044689.000	58.69	-33.65	0.03
1748425044704.000	67.34	-43.77	0.10
1748425044720.000	74.29	-50.80	0.02
1748425044736.000	62.34	-37.08	0.03
1748425044751.000	62.48	-38.56	0.03
1748425044767.000	69.19	-46.11	0.04
1748425044783.000	65.62	-41.67	0.03
1748425044799.000	55.96	-31.46	0.03
1748425044815.000	66.58	-44.27	0.04
1748425044831.000	66.66	-43.47	0.03
1748425044846.000	68.96	-46.17	0.03
1748425044862.000	62.89	-39.40	0.03
1748425044878.000	71.94	-50.18	0.04
1748425044893.000	65.47	-42.31	0.03
1748425044910.000	74.23	-52.84	0.02
1748425044925.000	66.99	-44.17	0.03
1748425044941.000	70.46	-48.91	0.03
1748425044957.000	61.29	-38.60	0.03
1748425044973.000	57.35	-35.24	0.03
1748425044989.000	48.03	-25.38	0.03
1748425045005.000	56.12	-35.26	0.02
1748425045021.000	59.50	-38.27	0.03
1748425045037.000	61.24	-39.95	0.02
1748425045053.000	64.17	-43.14	0.03
1748425045059.000	67.13	-46.28	0.02
1748425045071.000	54.95	-32.64	0.02
1748425045087.000	58.84	-38.23	0.03
1748425045102.000	57.49	-36.42	0.02
1748425045119.000	67.79	-48.06	0.02
1748425045134.000	73.69	-53.76	0.03
1748425045150.000	75.88	-55.84	0.03
1748425045166.000	73.76	-53.53	0.02
1748425045182.000	72.42	-52.49	0.02
1748425045198.000	61.85	-41.11	0.02
1748425045214.000	53.87	-33.43	0.03
1748425045230.000	54.55	-35.03	0.02
1748425045245.000	47.58	-27.27	0.02
1748425045261.000	47.10	-27.40	0.02
1748425045277.000	51.20	-31.97	0.03
1748425045293.000	57.83	-38.94	0.02
1748425045309.000	63.85	-45.03	0.02
1748425045324.000	61.60	-42.08	0.03
1748425045340.000	69.09	-50.73	0.02
1748425045356.000	73.65	-55.23	0.03
1748425045372.000	72.32	-53.54	0.03
1748425045388.000	69.45	-50.71	0.04
1748425045404.000	78.94	-61.72	0.03
1748425045420.000	78.86	-60.97	0.04
1748425045436.000	79.36	-61.83	0.03
1748425045452.000	76.77	-59.19	0.03
1748425045468.000	79.03	-62.22	0.02
1748425045480.000	80.25	-63.65	0.02
1748425045496.000	80.97	-64.62	0.03
1748425045500.000	82.18	-66.20	0.02
1748425045512.000	74.61	-58.00	0.03
1748425045528.000	75.75	-60.27	0.02
1748425045544.000	71.28	-55.45	0.03
1748425045560.000	70.49	-55.24	0.03
1748425045576.000	61.73	-45.80	0.03
1748425045592.000	62.42	-47.56	0.03
1748425045610.000	62.59	-47.81	0.03
1748425045626.000	60.60	-45.70	0.03
1748425045642.000	55.95	-40.85	0.04
1748425045657.000	55.36	-40.71	0.03
1748425045672.000	58.04	-43.80	0.04
1748425045689.000	50.06	-34.76	0.03
1748425045704.000	51.52	-37.18	0.02
1748425045720.000	48.59	-33.79	0.03
1748425045736.000	57.20	-43.63	0.03
1748425045752.000	59.37	-45.24	0.03
1748425045768.000	67.84	-54.53	0.02
1748425045784.000	67.95	-53.98	0.04
1748425045800.000	73.53	-60.34	0.03
1748425045814.000	63.32	-48.69	0.03
1748425045830.000	67.92	-54.95	0.03
1748425045846.000	62.01	-48.10	0.04
1748425045861.000	68.36	-55.87	0.04
1748425045877.000	62.81	-49.25	0.04
1748425045893.000	67.22	-54.83	0.03
1748425045909.000	66.81	-54.11	0.03
1748425045924.000	61.72	-48.66	0.02
1748425045940.000	49.61	-35.85	0.03
1748425045956.000	49.57	-37.01	0.02
1748425045972.000	51.07	-38.68	0.02
1748425045988.000	53.97	-41.76	0.02
1748425046004.000	67.01	-55.98	0.03
1748425046020.000	77.80	-66.82	0.03
1748425046036.000	79.66	-68.09	0.09
1748425046051.000	72.69	-60.46	0.03
1748425046067.000	70.27	-58.71	0.02
1748425046083.000	57.02	-44.44	0.03
1748425046098.000	56.55	-45.31	0.02
1748425046114.000	61.17	-50.56	0.03
1748425046119.000	69.53	-59.48	0.03
1748425046131.000	64.44	-53.20	0.03
1748425046148.000	73.83	-64.27	0.03
1748425046163.000	69.93	-59.24	0.03
1748425046179.000	63.04	-52.18	0.03
1748425046194.000	57.14	-46.46	0.03
1748425046211.000	63.72	-54.41	0.03
1748425046226.000	58.68	-48.30	0.04
1748425046242.000	61.31	-51.81	0.04
1748425046258.000	68.83	-60.00	0.03
1748425046273.000	72.56	-63.58	0.03
1748425046289.000	62.81	-52.62	0.04
1748425046307.000	60.17	-50.79	0.03
1748425046323.000	61.79	-52.95	0.03
1748425046339.000	59.35	-50.19	0.03
1748425046355.000	63.45	-55.08	0.03
1748425046370.000	69.74	-61.80	0.02
1748425046385.000	73.76	-65.82	0.03
1748425046401.000	66.77	-57.90	0.03
1748425046418.000	75.44	-68.39	0.03
1748425046433.000	72.41	-64.42	0.03
1748425046448.000	76.24	-69.19	0.03
1748425046459.000	81.44	-74.84	0.03
1748425046474.000	84.43	-77.96	0.03
1748425046489.000	80.73	-73.89	0.03
1748425046496.000	79.99	-73.75	0.04
1748425046512.000	72.91	-66.26	0.03
1748425046529.000	74.04	-68.46	0.04
1748425046544.000	68.28	-62.19	0.02
1748425046560.000	67.18	-61.73	0.02
1748425046576.000	69.71	-64.82	0.03
1748425046592.000	69.86	-64.93	0.03
1748425046596.000	60.82	-55.08	0.03
1748425046601.000	71.88	-68.36	0.03
1748425046614.000	73.57	-69.35	0.03
1748425046629.000	74.88	-70.88	0.03
1748425046645.000	82.96	-79.96	0.03
1748425046663.000	84.53	-81.23	0.03
1748425046680.000	77.53	-73.64	0.04
1748425046686.000	74.60	-71.37	0.03
1748425046697.000	71.31	-68.26	0.03
